user_id,date,time_min,value
smcfb.01.028,2023-08-14,-1,-1
smcfb.01.028,2023-08-15,-1,-1
smcfb.01.028,2023-08-16,-1,-1
smcfb.01.028,2023-08-17,-1,-1
smcfb.01.028,2023-08-18,-1,-1
smcfb.01.028,2023-08-19,-1,-1
smcfb.01.028,2023-08-20,-1,-1
smcfb.01.028,2023-08-21,-1,-1
smcfb.01.028,2023-08-22,-1,-1
smcfb.01.028,2023-08-23,-1,-1
smcfb.01.028,2023-08-24,-1,-1
smcfb.01.028,2023-08-25,-1,-1
smcfb.01.028,2023-08-26,-1,-1
smcfb.01.028,2023-08-27,-1,-1
smcfb.01.028,2023-08-28,-1,-1
smcfb.01.028,2023-08-30,-1,-1
smcfb.01.028,2023-08-31,-1,-1
smcfb.01.028,2023-09-01,-1,-1
smcfb.01.028,2023-09-02,-1,-1
smcfb.01.028,2023-09-03,-1,-1
smcfb.01.028,2023-09-04,-1,-1
smcfb.01.028,2023-09-05,-1,-1
smcfb.01.028,2023-09-06,-1,-1
smcfb.01.028,2023-09-07,-1,-1
smcfb.01.028,2023-09-08,-1,-1
smcfb.01.028,2023-09-09,-1,-1
smcfb.01.028,2023-09-10,-1,-1
smcfb.01.028,2023-09-11,-1,-1
smcfb.01.028,2023-09-12,-1,-1
smcfb.01.028,2023-09-13,-1,-1
smcfb.01.028,2023-09-14,-1,-1
smcfb.01.028,2023-08-29,-1,-1
smcfb.01.028,2023-09-15,-1,-1
smcfb.01.028,2023-09-16,-1,-1
smcfb.01.028,2023-09-17,-1,-1
smcfb.01.028,2023-09-18,-1,-1
smcfb.01.028,2023-09-19,-1,-1
smcfb.01.028,2023-09-20,-1,-1
smcfb.01.028,2023-09-21,-1,-1
smcfb.01.028,2023-09-22,-1,-1
smcfb.01.028,2023-09-23,-1,-1
smcfb.01.028,2023-09-24,-1,-1
smcfb.01.028,2023-09-25,-1,-1
smcfb.01.028,2023-09-26,-1,-1
smcfb.01.028,2023-09-27,-1,-1
smcfb.01.028,2023-09-28,-1,-1
smcfb.01.028,2023-09-29,-1,-1
smcfb.01.028,2023-09-30,-1,-1
smcfb.01.028,2023-10-01,-1,-1
smcfb.01.028,2023-10-02,-1,-1
smcfb.01.028,2023-10-03,-1,-1
smcfb.01.028,2023-10-04,-1,-1
smcfb.01.028,2023-10-05,-1,-1
smcfb.01.028,2023-10-06,-1,-1
smcfb.01.028,2023-10-07,-1,-1
smcfb.01.028,2023-10-08,-1,-1
smcfb.01.028,2023-10-09,-1,-1
smcfb.01.028,2023-10-10,-1,-1
smcfb.01.028,2023-10-11,-1,-1
smcfb.01.028,2023-10-12,-1,-1
smcfb.01.028,2023-10-13,-1,-1
smcfb.01.028,2023-10-14,-1,-1
smcfb.01.028,2023-10-15,-1,-1
smcfb.01.028,2023-10-16,-1,-1
smcfb.01.028,2023-10-17,-1,-1
smcfb.01.028,2023-10-18,-1,-1
smcfb.01.028,2023-10-19,-1,-1
smcfb.01.028,2023-10-20,-1,-1
smcfb.01.028,2023-10-21,-1,-1
smcfb.01.028,2023-10-22,-1,-1
smcfb.01.028,2023-10-23,-1,-1
smcfb.01.028,2023-10-24,-1,-1
smcfb.01.028,2023-10-25,-1,-1
smcfb.01.028,2023-10-26,-1,-1
smcfb.01.028,2023-10-27,-1,-1
smcfb.01.028,2023-10-28,-1,-1
smcfb.01.028,2023-10-29,-1,-1
smcfb.01.028,2023-10-30,-1,-1
smcfb.01.028,2023-10-31,-1,-1
smcfb.01.028,2023-11-01,-1,-1
smcfb.01.028,2023-11-02,-1,-1
smcfb.01.028,2023-11-03,-1,-1
smcfb.01.028,2023-11-04,-1,-1
smcfb.01.028,2023-11-05,-1,-1
smcfb.01.028,2023-11-06,-1,-1
smcfb.01.028,2023-11-07,-1,-1
smcfb.01.028,2023-11-08,-1,-1
smcfb.01.028,2023-11-09,-1,-1
smcfb.01.028,2023-11-10,-1,-1
smcfb.01.028,2023-11-11,-1,-1
smcfb.01.028,2023-11-12,-1,-1
